AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName_x,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName_x,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price_x,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD,id,RevisionId,AllocationId,TradeTypeName,SecurityType,Name,Ticker,CUSIP,ISIN,Quantity,Price_y,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName_y,CustodianName_y,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation,OpenYear
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500.0,787500.0,96.0,96.0,1.33,1.33,756000.0,1005480.0,123.0523,14411.4221,123.0523,54612.3074,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500.0,787500.0,96.0,96.0,1.33,1.33,756000.0,1005480.0,123.0523,14411.4221,123.0523,54612.3074,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000.0,505000.0,96.0,96.0,1.33,1.33,484800.0,644784.0,78.9097,9241.6104,78.9097,35021.2257,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000.0,505000.0,96.0,96.0,1.33,1.33,484800.0,644784.0,78.9097,9241.6104,78.9097,35021.2257,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000.0,505000.0,96.0,96.0,1.33,1.33,484800.0,644784.0,78.9097,9241.6104,78.9097,35021.2257,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000.0,505000.0,96.0,96.0,1.33,1.33,484800.0,644784.0,78.9097,9241.6104,78.9097,35021.2257,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000.0,508000.0,96.0,96.0,1.33,1.33,487680.0,648614.4,79.3785,9296.511,79.3785,35229.2726,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000.0,508000.0,96.0,96.0,1.33,1.33,487680.0,648614.4,79.3785,9296.511,79.3785,35229.2726,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000.0,508000.0,96.0,96.0,1.33,1.33,487680.0,648614.4,79.3785,9296.511,79.3785,35229.2726,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000.0,508000.0,96.0,96.0,1.33,1.33,487680.0,648614.4,79.3785,9296.511,79.3785,35229.2726,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857.0,432857.0,96.0,96.0,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857.0,432857.0,96.0,96.0,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857.0,432857.0,96.0,96.0,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857.0,432857.0,96.0,96.0,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12.0,12.0,96.0,96.0,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12.0,12.0,96.0,96.0,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12.0,12.0,96.0,96.0,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12.0,12.0,96.0,96.0,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500.0,112500.0,96.0,96.0,1.33,1.33,108000.0,143640.0,17.5789,2058.7746,17.5789,7801.7582,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500.0,112500.0,96.0,96.0,1.33,1.33,108000.0,143640.0,17.5789,2058.7746,17.5789,7801.7582,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500.0,112500.0,96.0,96.0,1.33,1.33,108000.0,143640.0,17.5789,2058.7746,17.5789,7801.7582,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500.0,112500.0,96.0,96.0,1.33,1.33,108000.0,143640.0,17.5789,2058.7746,17.5789,7801.7582,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,72143.0,72143.0,96.0,96.0,1.33,1.33,69257.28,92112.1824,11.2728,1320.2327,11.2728,5003.0421,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,72143.0,72143.0,96.0,96.0,1.33,1.33,69257.28,92112.1824,11.2728,1320.2327,11.2728,5003.0421,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,72143.0,72143.0,96.0,96.0,1.33,1.33,69257.28,92112.1824,11.2728,1320.2327,11.2728,5003.0421,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,72143.0,72143.0,96.0,96.0,1.33,1.33,69257.28,92112.1824,11.2728,1320.2327,11.2728,5003.0421,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Heather,Heather,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Opium,Opium Holdings Partners,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Opium,Opium Holdings Partners,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Opium,Opium Holdings Partners,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Opium,Opium Holdings Partners,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,1350000.0,1350000.0,96.0,96.0,1.33,1.33,1296000.0,1723680.0,210.9467,24705.2951,210.9467,93621.0984,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,Garfield,Garfield,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668704,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,Redfield Accu-Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668701,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,300000.0,267000.0,0.0,0.0,267000.0,UNC Investment Fund,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668702,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Leatherwood Trust MA,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
2023-08-01,2020-03-04,,MNC Inv,MNC Investment Fund,GGB,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,900000.0,900000.0,96.0,96.0,1.33,1.33,864000.0,1149120.0,140.6311,16470.1967,140.6311,62414.0656,4262493,1,3668703,Buy,Bond,EJ0445951,,EJ0445951,GR0138012787,1500000,89.0,,1335000.0,0.0,1335000.0,450000.0,400500.0,0.0,0.0,400500.0,Optimum Holdings Partners,Well Prime,GGB,Asset,DefaultS2,MSCOF,All,0,2020
